33218,323	33448,049	32289,282	33403,169	36529,731	35550,571	38079,926	42349,733	56623,932	91901,738	145123,311	177871,059	162358,970	107723,778	56407,950	40846,935	39664,937	40331,542	47095,206	46969,207	62860,701	52223,517	51286,430	35875,512	35630,544	34122,129	34922,686	36764,675	33404,412	32128,056	34064,062	34085,768	33604,824	35453,323	39207,399	42863,135	47383,282	58788,801	88215,719	61205,589	83135,277	38876,112	38302,772	37463,880	38039,647	35787,357	35579,920	34808,020	33039,522	33299,483
34030,814	34611,500	34800,982	33916,952	32294,782	33810,971	35427,045	39206,260	54928,861	64428,535	132675,192	121490,330	153899,449	72709,424	55024,322	40324,754	37728,352	34729,551	38352,460	35130,820	43916,387	34559,671	37113,583	35902,217	34566,616	32957,724	33477,151	33898,293	31658,354	34241,350	34375,529	31422,550	34957,547	35265,892	36616,117	38387,841	39764,373	39126,001	48377,595	35639,477	49543,974	35743,911	38465,330	35469,686	37652,738	35787,617	35142,678	35920,216	31993,681	33412,151
36422,212	37117,054	37029,088	35563,213	35119,443	38812,590	36581,962	37078,665	45346,198	43122,827	81839,470	55879,672	98032,455	44732,537	47070,576	39214,108	36666,480	36930,452	35179,803	32415,877	35044,049	35856,112	37693,834	34356,014	34242,064	32482,570	31782,444	34449,684	33660,402	33845,996	34756,785	36061,641	33405,783	31545,364	34941,545	34562,323	36615,912	33844,703	35309,872	33831,641	38677,110	32161,810	37614,163	34963,307	34606,148	34292,328	35612,538	35711,023	36745,369	36547,714
37177,042	37938,192	36388,833	35455,735	34924,630	34856,674	38868,858	38482,820	37223,239	36421,032	48485,713	33389,305	43013,467	39255,128	40360,375	44992,157	34753,112	35205,969	35711,943	35474,415	33972,262	35654,234	35054,892	33879,487	33432,057	32997,713	34217,531	34132,961	33597,662	35988,071	35107,151	33689,340	32172,243	34914,478	34442,788	34366,862	33373,525	34549,838	34366,411	35633,692	33914,569	32148,265	31296,848	34674,369	36348,019	35052,269	33192,081	35085,196	38201,540	36561,949
35215,048	34987,163	34342,896	34447,128	36959,474	35224,937	36735,480	34355,081	36182,404	35529,327	38027,225	34956,808	36319,006	50346,407	39661,366	52686,061	38798,165	39526,091	36571,057	36623,718	34977,019	43787,875	38283,904	41181,488	32967,431	33259,849	33955,391	36160,560	37686,969	33892,830	34512,892	33999,944	31809,832	33531,021	34610,159	36885,823	33481,482	37396,023	33286,357	34560,888	33702,985	34044,162	35461,290	34361,944	33871,686	34037,148	34338,758	40712,620	35582,811	39714,824
39047,427	36185,430	36744,431	36224,075	32365,680	33917,658	34280,175	35623,937	34059,733	34789,094	34587,064	35938,692	43091,867	49861,895	46972,667	52497,287	43583,471	39851,062	37241,050	33839,189	36220,710	46283,850	44892,960	42915,083	35601,665	33790,240	34321,885	33439,358	36671,412	33339,280	34818,932	35935,799	34623,495	35302,911	34003,664	35829,881	35464,617	34240,706	32644,134	33264,986	34771,896	36586,134	34291,242	34129,478	36728,601	36340,558	35483,221	35696,388	39523,696	47630,152
34432,791	38161,346	33222,780	35518,843	31671,243	31123,757	33429,741	31510,191	33935,403	34340,456	31367,977	34354,967	41392,397	41478,550	59711,580	46063,880	50797,175	40019,021	38828,983	36877,948	36723,925	40710,916	53551,396	36854,615	39622,270	34775,111	34912,760	35017,452	34663,707	35838,320	33967,252	33136,265	32345,467	39162,062	33916,180	38380,292	35275,349	34538,902	32438,555	36890,501	33592,960	37268,530	35164,658	38842,308	35821,940	36249,619	36622,212	36854,605	41438,742	48507,545
42623,972	36403,978	36971,064	32447,276	34763,784	33725,588	33591,149	32595,319	33923,709	31668,670	32232,560	33546,764	36192,760	38810,295	48878,446	51934,378	50984,002	46755,569	41192,973	43223,068	37810,858	36375,366	42125,920	33506,384	39843,251	32930,719	31322,431	41419,339	36764,196	43058,074	34446,739	34185,079	33610,469	44231,108	37318,276	50078,825	36053,423	38405,145	36661,075	38303,765	36156,748	53797,694	37721,502	53510,093	37724,850	42259,542	36662,583	41349,037	42746,872	40582,090
43302,786	34463,609	35910,482	36547,406	33151,190	34378,390	32874,078	33763,110	33820,135	31523,788	34931,036	38570,298	37824,584	39388,396	41465,761	59962,126	43202,076	55669,356	39642,712	50701,847	35906,846	40654,822	37604,359	35941,832	34449,088	34281,933	36164,375	38903,339	38326,969	44515,604	37797,912	37856,327	39388,865	57380,588	41902,836	65756,733	36730,089	39509,075	35038,041	36625,844	31774,566	66320,794	38729,555	67267,380	38699,167	41697,646	37906,139	41024,653	40415,590	36414,128
37316,684	36901,274	38763,944	37684,507	35822,030	34168,193	32969,275	33263,960	34893,750	32806,045	34280,252	37926,230	35770,388	54738,400	47555,721	127644,656	50254,064	112261,344	53321,150	51529,919	39224,838	36194,799	35017,524	33974,822	33746,876	32324,478	37208,960	34545,725	43800,487	38450,199	37395,312	39985,562	36405,638	45412,296	54556,538	52179,406	43522,625	35959,490	37026,159	37714,503	39210,978	51713,028	58998,532	58751,926	44694,076	49142,956	40921,668	46676,519	36927,813	48000,961
