607.2	399404.851	395794.958	0.239972852	0.236999015	0.991
613.8	391833.644	392346.069	0.235423873	0.234933846	1.001
620.4	351043.383	349010.39	0.210916021	0.208984771	0.994
627	288577.474	283451.208	0.173384873	0.169728431	0.982
633.6	274354.637	276935.638	0.164839422	0.165826957	1.009
640.2	264196.625	262655.574	0.158736223	0.157276163	0.994
646.8	218658.141	215585.519	0.131375514	0.129090971	0.986
653.4	215072.947	212000.033	0.129221436	0.12694401	0.986
660	190536.714	184390.49	0.114479427	0.110411625	0.968
666.6	190920.893	189018.992	0.114710252	0.113183137	0.99
673.2	163545.991	160992.928	0.098262697	0.096401343	0.984
679.8	146239.413	146751.568	0.087864454	0.087873724	1.004
686.4	133625.165	133625.165	0.080285484	0.080013734	1
693	127491.193	131075.426	0.076600034	0.07848697	1.028
699.6	126995.328	130603.938	0.076302105	0.078204646	1.028
